Sat 02/16/2019 17:44:37.25 Initial tracert (trace route) to www.google.com 

Tracing route to www.google.com [216.58.192.4]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  router.asus.com [192.168.1.1] 
  2     4 ms     3 ms    <1 ms  10.1.27.1 
  3    33 ms     2 ms     1 ms  66.29.178.205.static.utbb.net [66.29.178.205] 
  4     2 ms     2 ms     2 ms  204.14.21.158.static.utbb.net [204.14.21.158] 
  5     5 ms     4 ms     4 ms  66.29.191.205.static.utbb.net [66.29.191.205] 
  6    20 ms    20 ms    21 ms  eqixsj-google-gige.google.com [206.223.116.21] 
  7    22 ms    22 ms    22 ms  108.170.242.241 
  8    52 ms    48 ms    50 ms  108.170.237.147 
  9    38 ms    24 ms    23 ms  nuq04s29-in-f4.1e100.net [216.58.192.4] 

Trace complete.
Sat 02/16/2019 17:49:18.70 Pinging www.google.com 
Sat 02/16/2019 17:49:19.74 Pinging www.google.com 
Sat 02/16/2019 17:49:20.78 Pinging www.google.com 
Sat 02/16/2019 17:49:21.82 Pinging www.google.com 
Sat 02/16/2019 17:49:22.86 Pinging www.google.com 
Sat 02/16/2019 17:49:23.91 Pinging www.google.com 
Sat 02/16/2019 17:49:24.96 Pinging www.google.com 
Sat 02/16/2019 17:49:26.00 Pinging www.google.com 
Sat 02/16/2019 17:49:27.04 Pinging www.google.com 
Sat 02/16/2019 17:49:28.09 Pinging www.google.com 
Sat 02/16/2019 17:49:29.13 Pinging www.google.com 
Sat 02/16/2019 17:49:30.17 Pinging www.google.com 
Sat 02/16/2019 17:49:31.21 Pinging www.google.com 
Sat 02/16/2019 17:49:32.26 Pinging www.google.com 
Sat 02/16/2019 17:49:33.30 Pinging www.google.com 
Sat 02/16/2019 17:49:34.34 Pinging www.google.com 
Sat 02/16/2019 17:49:35.39 Pinging www.google.com 
Sat 02/16/2019 17:49:36.43 Pinging www.google.com 
Sat 02/16/2019 17:49:37.47 Pinging www.google.com 
Sat 02/16/2019 17:49:38.51 Pinging www.google.com 
Sat 02/16/2019 17:49:39.55 Pinging www.google.com 
Sat 02/16/2019 17:49:40.60 Pinging www.google.com 
Sat 02/16/2019 17:49:41.66 Pinging www.google.com 
Sat 02/16/2019 17:49:42.70 Pinging www.google.com 
Sat 02/16/2019 17:49:43.74 Pinging www.google.com 
Sat 02/16/2019 17:49:44.78 Pinging www.google.com 
Sat 02/16/2019 17:49:45.83 Pinging www.google.com 
Sat 02/16/2019 17:49:46.87 Pinging www.google.com 
Sat 02/16/2019 17:49:47.91 Pinging www.google.com 
Sat 02/16/2019 17:49:48.95 Pinging www.google.com 
Sat 02/16/2019 17:49:50.00 Pinging www.google.com 
Sat 02/16/2019 17:49:51.05 Pinging www.google.com 
Sat 02/16/2019 17:49:52.09 Pinging www.google.com 
Sat 02/16/2019 17:49:53.13 Pinging www.google.com 
Sat 02/16/2019 17:49:54.18 Pinging www.google.com 
Sat 02/16/2019 17:49:55.22 Pinging www.google.com 
Sat 02/16/2019 17:49:56.26 Pinging www.google.com 
Sat 02/16/2019 17:49:57.31 Pinging www.google.com 
Sat 02/16/2019 17:49:58.35 Pinging www.google.com 
Sat 02/16/2019 17:49:59.39 Pinging www.google.com 
Sat 02/16/2019 17:50:00.45 Pinging www.google.com 
Sat 02/16/2019 17:50:01.50 Pinging www.google.com 
Sat 02/16/2019 17:50:02.54 Pinging www.google.com 
Sat 02/16/2019 17:50:03.59 Pinging www.google.com 
Sat 02/16/2019 17:50:04.63 Pinging www.google.com 
Sat 02/16/2019 17:50:05.67 Pinging www.google.com 
Sat 02/16/2019 17:50:06.71 Pinging www.google.com 
Sat 02/16/2019 17:50:07.76 Pinging www.google.com 
