Sat 02/16/2019 18:55:59.63 Initial tracert (trace route) to www.google.com  

Tracing route to www.google.com [216.58.194.196]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  router.asus.com [192.168.1.1] 
Sat 02/16/2019 19:03:08.58 Pinging www.google.com  
Sat 02/16/2019 19:03:09.63 Pinging www.google.com  
Sat 02/16/2019 19:03:10.67 Pinging www.google.com  
Sat 02/16/2019 19:03:11.72 Pinging www.google.com  
Sat 02/16/2019 19:03:12.76 Pinging www.google.com  
Sat 02/16/2019 19:03:13.86 Pinging www.google.com  
Sat 02/16/2019 19:03:14.90 Pinging www.google.com  
Sat 02/16/2019 19:03:16.00 Pinging www.google.com  
Sat 02/16/2019 19:03:17.06 Pinging www.google.com  
Sat 02/16/2019 19:03:18.10 Pinging www.google.com  
Sat 02/16/2019 19:03:19.14 Pinging www.google.com  
Sat 02/16/2019 19:03:20.19 Pinging www.google.com  
Sat 02/16/2019 19:03:21.24 Pinging www.google.com  
Sat 02/16/2019 19:03:22.29 Pinging www.google.com  
Sat 02/16/2019 19:03:23.33 Pinging www.google.com  
Sat 02/16/2019 19:03:24.38 Pinging www.google.com  
Sat 02/16/2019 19:03:25.42 Pinging www.google.com  
Sat 02/16/2019 19:03:26.47 Pinging www.google.com  
Sat 02/16/2019 19:03:27.51 Pinging www.google.com  
Sat 02/16/2019 19:03:28.56 Pinging www.google.com  
Sat 02/16/2019 19:03:29.61 Pinging www.google.com  
Sat 02/16/2019 19:03:30.65 Pinging www.google.com  
Sat 02/16/2019 19:03:31.75 Pinging www.google.com  
Sat 02/16/2019 19:03:32.79 Pinging www.google.com  
Sat 02/16/2019 19:03:33.87 Pinging www.google.com  
Sat 02/16/2019 19:03:34.91 Pinging www.google.com  
Sat 02/16/2019 19:03:36.00 Pinging www.google.com  
Sat 02/16/2019 19:03:37.04 Pinging www.google.com  
Sat 02/16/2019 19:03:38.11 Pinging www.google.com  
Sat 02/16/2019 19:03:39.16 Pinging www.google.com  
Sat 02/16/2019 19:03:40.21 Pinging www.google.com  
Sat 02/16/2019 19:03:41.25 Pinging www.google.com  
Sat 02/16/2019 19:03:42.34 Pinging www.google.com  
